Land,Stig,Stig(%),Votings,Votings not null,Votings not null (%)
Norway,139,48.26,17,16,94.12
Finland,105,51.47,12,11,91.67
Denmark,83,46.11,12,10,83.33
Australia,76,48.72,7,7,100.00
Ukraine,62,20.67,18,9,50.00
Italy,61,24.21,13,6,46.15
Switzerland,59,35.12,9,5,55.56
France,58,17.26,20,8,40.00
Bosnia & Herzegovina,54,50.00,9,7,77.78
Iceland,54,32.14,11,7,63.64
Russia,50,23.15,15,8,53.33
Cyprus,49,21.49,12,8,66.67
Netherlands,48,26.67,9,7,77.78
Serbia,46,19.17,13,6,46.15
Israel,43,17.92,13,6,46.15
Belgium,41,24.40,9,7,77.78
Estonia,40,22.22,10,6,60.00
Austria,38,22.62,9,6,66.67
Azerbaijan,36,16.67,13,5,38.46
Ireland,32,24.24,9,6,66.67
Lithuania,31,13.60,13,6,46.15
Turkey,29,30.21,8,5,62.50
Malta,29,18.59,10,4,40.00
United Kingdom,29,8.63,20,5,25.00
Croatia,27,17.31,9,3,33.33
Hungary,27,17.31,10,5,50.00
Greece,27,10.23,17,6,35.29
Portugal,26,14.44,9,2,22.22
Romania,25,13.02,14,5,35.71
Germany,25,7.44,20,4,20.00
Bulgaria,24,22.22,5,3,60.00
Poland,23,15.97,8,5,62.50
Spain,20,5.95,20,3,15.00
Armenia,19,8.80,13,7,53.85
Czechia,18,15.00,5,5,100.00
Moldova,18,8.33,13,2,15.38
Serbia & Montenegro,16,66.67,2,2,100.00
Latvia,11,10.19,7,3,42.86
Albania,9,5.00,11,3,27.27
Luxembourg,6,25.00,1,1,100.00
Georgia,6,5.00,8,1,12.50
Montenegro,2,8.33,2,1,50.00
North Macedonia,2,2.38,6,1,16.67
Slovenia,1,0.69,8,1,12.50
Belarus,0,0.00,6,0,0.00
San Marino,0,0.00,3,0,0.00
Andorra,0,0.00,0,0,0.00
Marocco,0,0.00,0,0,0.00
Monaco,0,0.00,0,0,0.00
Rest of world,0,0.00,0,0,0.00
Slovakia,0,0.00,0,0,0.00
Yugoslavia,0,0.00,0,0,0.00
