Land,Stig,Stig(%),Votings,Votings not null,Votings not null (%)
Finland,76,45.24,11,9,81.82
Norway,76,45.24,11,10,90.91
Denmark,74,44.05,11,11,100.00
Sweden,54,32.14,11,7,63.64
United Kingdom,52,30.95,11,7,63.64
Hungary,48,50.00,7,6,85.71
Estonia,40,23.81,11,6,54.55
Portugal,39,25.00,10,6,60.00
Australia,38,52.78,3,2,66.67
Netherlands,38,22.62,11,4,36.36
Ireland,37,22.02,11,4,36.36
Germany,35,20.83,11,7,63.64
Poland,34,23.61,9,3,33.33
Italy,33,27.50,7,4,57.14
Slovenia,33,19.64,11,5,45.45
Latvia,32,19.05,11,4,36.36
Austria,30,22.73,8,3,37.50
Malta,30,17.86,11,5,45.45
Switzerland,30,17.86,11,4,36.36
Belgium,29,17.26,11,3,27.27
Lithuania,29,17.26,11,4,36.36
Czechia,27,28.13,5,3,60.00
Spain,26,15.48,11,6,54.55
France,20,11.90,11,3,27.27
Croatia,19,12.18,10,3,30.00
Ukraine,18,12.50,10,2,20.00
Serbia,17,11.81,9,2,22.22
San Marino,16,12.12,8,2,25.00
Russia,16,11.11,10,5,50.00
Israel,15,8.93,11,3,27.27
Romania,15,8.93,11,2,18.18
Belarus,11,9.17,9,3,33.33
Slovakia,10,20.83,4,2,50.00
Georgia,10,6.94,9,2,22.22
Moldova,9,5.77,10,3,30.00
Greece,9,5.36,11,3,27.27
Andorra,8,22.22,3,1,33.33
Armenia,8,6.67,8,2,25.00
North Macedonia,8,4.76,11,3,27.27
Montenegro,7,6.48,7,2,28.57
Cyprus,6,3.85,10,2,20.00
Albania,6,3.57,11,1,9.09
Monaco,5,41.67,1,1,100.00
Bulgaria,5,4.17,8,1,12.50
Turkey,2,2.78,6,1,16.67
Bosnia & Herzegovina,1,1.39,6,1,16.67
Azerbaijan,0,0.00,10,0,0.00
Serbia & Montenegro,0,0.00,1,0,0.00
Luxembourg,0,0.00,0,0,0.00
Marocco,0,0.00,0,0,0.00
Rest of world,0,0.00,0,0,0.00
Yugoslavia,0,0.00,0,0,0.00
