Land,Stig,Stig(%),Votings,Votings not null,Votings not null (%)
Denmark,240,74.07,19,19,100.00
Norway,218,67.28,19,19,100.00
Finland,203,62.65,19,19,100.00
Iceland,189,58.33,19,18,94.74
Estonia,170,52.47,19,17,89.47
Malta,135,41.67,19,15,78.95
Latvia,132,40.74,19,14,73.68
Ireland,123,37.96,19,14,73.68
United Kingdom,122,37.65,19,14,73.68
Spain,118,36.42,19,15,78.95
Israel,117,36.11,19,12,63.16
Lithuania,117,36.11,19,14,73.68
Netherlands,116,35.80,19,11,57.89
Belgium,111,34.26,19,15,78.95
Germany,106,32.72,19,12,63.16
Moldova,100,32.05,18,14,77.78
Poland,98,32.67,17,11,64.71
Slovenia,97,29.94,19,14,73.68
Cyprus,95,30.45,18,12,66.67
Australia,93,45.59,9,7,77.78
Czechia,93,38.75,12,8,66.67
Romania,89,32.25,17,10,58.82
Austria,87,30.21,16,10,62.50
France,84,25.93,19,13,68.42
Armenia,83,31.44,15,9,60.00
Albania,83,25.62,19,14,73.68
Switzerland,79,24.38,19,10,52.63
Serbia,77,27.90,15,13,86.67
Ukraine,74,25.69,17,12,70.59
Georgia,72,26.09,15,10,66.67
Portugal,68,23.61,17,11,64.71
Azerbaijan,63,22.83,15,9,60.00
San Marino,62,23.48,14,10,71.43
Hungary,61,29.90,13,9,69.23
Croatia,58,19.33,17,10,58.82
Belarus,53,23.25,15,9,60.00
North Macedonia,52,18.84,17,10,58.82
Italy,49,19.44,13,8,61.54
Greece,49,15.12,19,9,47.37
Russia,41,17.98,15,8,53.33
Montenegro,32,15.69,12,6,50.00
Slovakia,22,61.11,3,2,66.67
Bulgaria,20,9.26,13,6,46.15
Bosnia & Herzegovina,18,15.00,9,4,44.44
Andorra,17,23.61,6,4,66.67
Turkey,13,13.54,8,3,37.50
Monaco,8,22.22,3,2,66.67
Rest of world,7,14.58,2,1,50.00
Serbia & Montenegro,5,13.89,3,2,66.67
Luxembourg,1,4.17,1,1,100.00
Marocco,0,0.00,0,0,0.00
Yugoslavia,0,0.00,0,0,0.00
