country,song,tone,bpm
CH,Refrain,C major,105.0
NL,De vogels van Holland,C major,139.0
CH,Das alte Karussell,,
BE,Messieurs les noyés de la Seine,G minor,122.0
DE,Im Wartesaal zum großen Glück,C minor,136.0
FR,Le Temps perdu,Eb major,133.0
LU,Ne crois pas,Bb major,137.0
IT,Aprite le finestre,D major,143.0
NL,Voorgoed voorbij,Bb major,128.0
BE,Le Plus Beau Jour de ma vie,Eb major,107.0
DE,So geht das jede Nacht,F major,185.0
FR,Il est là,G minor,151.0
LU,Les Amants de minuit,,
IT,Amami se vuoi,F major,110.0
NL,Net als toen,Ab major,120.0
FR,La Belle Amour,Bb minor,100.0
DK,Skibet skal sejle i nat,Eb major,97.0
LU,Tant de peine,Bb major,117.0
DE,"Telefon, Telefon",C major,112.0
IT,Corde della mia chitarra,C minor,132.0
GB,All,F major,154.0
BE,Straatdeuntje,Eb major,185.0
CH,L'Enfant que j'étais,Bb major,120.0
AT,"Wohin, kleines Pony?",C# major,102.0
FR,Dors mon amour,A major,164.0
CH,Giorgio,C major,155.0
IT,"Nel blu, dipinto di blu",Bb major,139.0
SE,Lilla stjärna,Bb major,178.0
BE,Ma petite chatte,Eb major,144.0
AT,Die ganze Welt braucht Liebe,Bb major,110.0
DE,Für zwei Groschen Musik,F major,164.0
DK,Jeg rev et blad ud af min dagbog,C major,143.0
NL,Heel de wereld,Ab major,164.0
LU,Un grand amour,C# minor,143.0
NL,Een beetje,C minor,139.0
GB,Sing Little Birdie,A major,115.0
FR,"Oui, oui, oui, oui",A major,120.0
CH,Irgendwoher,C# major,164.0
DK,"Uh, jeg ville ønske jeg var dig",C major,122.0
IT,Piove,G major,143.0
BE,Hou toch van mij,C major,119.0
DE,Heut' woll'n wir tanzen geh'n,Ab major,136.0
SE,Augustin,G major,112.0
AT,Der K. und K. Kalypso aus Wien,G minor,154.0
MC,Mon ami Pierrot,E minor,143.0
FR,Tom Pillibi,A major,133.0
GB,"Looking High, High, High",C major,112.0
MC,Ce soir,E minor,97.0
NO,Voi,C minor,155.0
DE,Bonne nuit ma chérie,C minor,123.0
BE,Mon amour pour toi,F major,172.0
AT,Du hast mich so fasziniert,Bb major,152.0
CH,Cielo e terra,D major,124.0
IT,Romantica,F minor,148.0
SE,Alla andra får varann,G major,145.0
DK,Det var en yndig tid,Eb major,99.0
NL,Wat een geluk,Ab major,143.0
LU,So laang we's du do bast,Ab major,91.0
LU,Claude Pascal,A minor,126.0
GB,Are You Sure?,Ab major,172.0
CH,Nous aurons demain,C major,104.0
FR,Paul Mauric,E major,94.0
DK,Angelique,A major,118.0
IT,Al di là,Ab major,108.0
NO,Sommer i Palma,E minor,163.0
YU,Neke davne zvezde,G major,164.0
ES,Estando contigo,G major,93.0
MC,"Allons, allons les enfants",Bb major,137.0
FI,Valoa ikkunassa,G major,100.0
NL,Wat een dag,G major,89.0
DE,Einmal sehen wir uns wieder,G major,126.0
SE,Babs,Bb major,133.0
AT,Sehnsucht,C major,148.0
BE,"September, gouden roos",F major,101.0
FR,Un premier amour,D minor,92.0
MC,Dis rien,A major,78.0
LU,Petit bonhomme,C major,115.0
YU,Ne pali svetla u sumrak,C# major,100.0
GB,Ring,Bb minor,112.0
DE,Zwei kleine Italiener,Eb major,105.0
FI,Tipi,G major,165.0
SE,Sol och vår,Ab major,117.0
IT,"Addio, addio",C major,152.0
DK,Vuggevise,Eb major,85.0
NO,"Kom sol, kom regn",Bb major,94.0
CH,Le Retour,D minor,78.0
BE,Ton nom,F major,101.0
ES,Llámame,Bb major,90.0
AT,Nur in der Wiener Luft,D major,165.0
NL,Katinka,Ab major,141.0
DK,Dansevise,A minor,97.0
CH,T'en vas pas,,
IT,Uno per tutte,Ab major,112.0
GB,Say Wonderful Things,,
FR,Elle était si jolie,C minor,120.0
MC,L'amour s'en va,D major,111.0
AT,Vielleicht geschieht ein Wunder,A major,118.0
LU,À force de prier,E major,165.0
DE,Marcel,F minor,136.0
BE,Waarom?,F minor,96.0
YU,Brodovi,C major,144.0
ES,Algo prodigioso,G minor,163.0
NL,Een speeldoos,B major,109.0
NO,Solhverv,C# major,137.0
FI,Muistojeni laulu,D major,111.0
SE,En gång i Stockholm,G major,135.0
IT,Non ho l'età,F major,99.0
GB,I Love the Little Things,Eb major,87.0
